parent,Child,Relation,N,Date
haus,häuser,0.89,0,2018-11-09 01:42:59
haus,stiftung,0.88,0,2018-11-09 01:42:59
haus,grund,0.86,0,2018-11-09 01:42:59
haus,immobilien,0.83,0,2018-11-09 01:42:59
haus,bauen,0.82,0,2018-11-09 01:42:59
haus,hause,0.82,0,2018-11-09 01:42:59
haus,huf,0.79,0,2018-11-09 01:42:59
haus,international,0.78,0,2018-11-09 01:42:59
haus,aufbau,0.78,0,2018-11-09 01:42:59
haus,hausundgrund,0.77,0,2018-11-09 01:42:59
haus,einfamilienhaus,0.77,0,2018-11-09 01:42:59
haus,griffner,0.76,0,2018-11-09 01:42:59
haus,renovieren,0.75,0,2018-11-09 01:42:59
haus,kaufen,0.7,0,2018-11-09 01:42:59
haus,zimmer,0.68,0,2018-11-09 01:42:59
haus,wohnen,0.68,0,2018-11-09 01:42:59
haus,geschichte,0.67,0,2018-11-09 01:42:59
haus,wohnung,0.63,0,2018-11-09 01:42:59
haus,siedlungsgeographie,0.62,0,2018-11-09 01:42:59
haus,bauform wohngebäude,0.62,0,2018-11-09 01:42:59
haus,rechtsgeschichte,0.62,0,2018-11-09 01:42:59
haus,siedlungsname,0.62,0,2018-11-09 01:42:59
haus,fürth,0.61,0,2018-11-09 01:42:59
haus,mieten,0.61,0,2018-11-09 01:42:59
haus,wohnungen,0.6,0,2018-11-09 01:42:59
geschichte,mittelalter,0.84,1,2018-11-09 01:43:01
geschichte,alte,0.84,1,2018-11-09 01:43:01
geschichte,geschichtswissenschaft,0.81,1,2018-11-09 01:43:01
geschichte,neuzeit,0.78,1,2018-11-09 01:43:01
geschichte,hdbg,0.78,1,2018-11-09 01:43:01
geschichte,bayerischen,0.77,1,2018-11-09 01:43:01
geschichte,osteuropas,0.77,1,2018-11-09 01:43:01
geschichte,nationalsozialismus,0.76,1,2018-11-09 01:43:01
geschichte,institut,0.75,1,2018-11-09 01:43:01
geschichte,historischen,0.74,1,2018-11-09 01:43:01
geschichte,hitler tagebücher,0.73,1,2018-11-09 01:43:01
geschichte,nürnbergs,0.72,1,2018-11-09 01:43:01
geschichte,stadtarchiv nürnberg,0.71,1,2018-11-09 01:43:01
geschichte,bpb,0.71,1,2018-11-09 01:43:01
geschichte,online,0.71,1,2018-11-09 01:43:01
geschichte,stadt,0.65,1,2018-11-09 01:43:01
geschichte,deutschen,0.64,1,2018-11-09 01:43:01
geschichte,nürnberg,0.64,1,2018-11-09 01:43:01
geschichte,prof,0.64,1,2018-11-09 01:43:01
geschichte,bayern,0.62,1,2018-11-09 01:43:01
geschichte,historische,0.6,1,2018-11-09 01:43:01
geschichte,nürnberger,0.59,1,2018-11-09 01:43:01
geschichte,portal,0.57,1,2018-11-09 01:43:01
geschichte,lernen,0.57,1,2018-11-09 01:43:01
geschichte,kulturwissenschaft,0.56,1,2018-11-09 01:43:01
bauform wohngebäude,bau form,1.58,1,2018-11-09 01:43:01
bauform wohngebäude,baugrundstücke,1.13,1,2018-11-09 01:43:01
bauform wohngebäude,50hz,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,400v,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,eead400,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,tk,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,rotek,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,elektromotoren,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,dam,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,temperaturkoeffizient,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,motorlexikon,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,b3,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,elektromotor,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,125,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,nennbelastbarkeit,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,ip55,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,70,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,e070,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,stadtplanung,1.0,1,2018-11-09 01:43:01
bauform wohngebäude,wärmewiderstand,0.99,1,2018-11-09 01:43:01
bauform wohngebäude,stadtgestaltung,0.97,1,2018-11-09 01:43:01
bauform wohngebäude,stadtsanierung,0.96,1,2018-11-09 01:43:01
rechtsgeschichte,römisches,0.67,1,2018-11-09 01:43:01
rechtsgeschichte,rechtsphilosophie,0.56,1,2018-11-09 01:43:01
rechtsgeschichte,verfassungsgeschichte,0.56,1,2018-11-09 01:43:01
rechtsgeschichte,strafrechtsgeschichte,0.56,1,2018-11-09 01:43:01
rechtsgeschichte,bürgerliches,0.54,1,2018-11-09 01:43:01
rechtsgeschichte,neuere privatrechtsgeschichte,0.51,1,2018-11-09 01:43:01
rechtsgeschichte,kirchenrecht,0.51,1,2018-11-09 01:43:01
rechtsgeschichte,max planck,0.48,1,2018-11-09 01:43:01
fürth,fürther,0.9,1,2018-11-09 01:43:01
fürth,greuther,0.83,1,2018-11-09 01:43:01
fürth,stadttheater,0.82,1,2018-11-09 01:43:01
fürth,spvgg,0.76,1,2018-11-09 01:43:01
fürth,rundfunkmuseum,0.74,1,2018-11-09 01:43:01
fürth,nordbayern,0.67,1,2018-11-09 01:43:01
fürth,dambach,0.63,1,2018-11-09 01:43:01
fürth,oberasbach,0.63,1,2018-11-09 01:43:01
fürth,erlangen,0.63,1,2018-11-09 01:43:01
fürth,jüdische,0.63,1,2018-11-09 01:43:01
rechtsgeschichte,hrg,0.45,1,2018-11-09 01:43:01
rechtsgeschichte,radbruch,0.43,1,2018-11-09 01:43:01
rechtsgeschichte,redirect notice,0.43,1,2018-11-09 01:43:01
rechtsgeschichte,skript,0.43,1,2018-11-09 01:43:01
rechtsgeschichte,writs,0.42,1,2018-11-09 01:43:01
rechtsgeschichte,common law,0.42,1,2018-11-09 01:43:01
rechtsgeschichte,wales,0.42,1,2018-11-09 01:43:01
rechtsgeschichte,writ,0.42,1,2018-11-09 01:43:01
rechtsgeschichte,lehrveranstaltungen,0.42,1,2018-11-09 01:43:01
rechtsgeschichte,wenger,0.42,1,2018-11-09 01:43:01
rechtsgeschichte,königlichen,0.41,1,2018-11-09 01:43:01
rechtsgeschichte,equity,0.41,1,2018-11-09 01:43:01
rechtsgeschichte,berlin,0.41,1,2018-11-09 01:43:01
rechtsgeschichte,utb,0.41,1,2018-11-09 01:43:01
rechtsgeschichte,bernd rüdiger,0.41,1,2018-11-09 01:43:01
fürth,spielvereinigung,0.6,1,2018-11-09 01:43:01
fürth,kreisliga,0.59,1,2018-11-09 01:43:01
fürth,kleeblatt,0.58,1,2018-11-09 01:43:01
fürth,west,0.56,1,2018-11-09 01:43:01
fürth,ostertal,0.55,1,2018-11-09 01:43:01
fürth,u17,0.52,1,2018-11-09 01:43:01
fürth,landkreis,0.52,1,2018-11-09 01:43:01
fürth,frankenhöhe,0.51,1,2018-11-09 01:43:01
fürth,kreisklasse,0.51,1,2018-11-09 01:43:01
fürth,neumarkt,0.51,1,2018-11-09 01:43:01
fürth,landesliga,0.51,1,2018-11-09 01:43:01
fürth,vergrößern,0.51,1,2018-11-09 01:43:01
fürth,engel völkers,0.51,1,2018-11-09 01:43:01
fürth,nord,0.51,1,2018-11-09 01:43:01
rechtsgeschichte,mail,0.41,1,2018-11-09 01:43:01
rechtsgeschichte,arztrecht,0.41,1,2018-11-09 01:43:01
fürth,bezirksliga,0.51,1,2018-11-09 01:43:01
mieten,miete,0.92,1,2018-11-09 01:43:01
mieten,mietwohnungen,0.89,1,2018-11-09 01:43:01
mieten,wohnung,0.88,1,2018-11-09 01:43:01
mieten,immobilien,0.86,1,2018-11-09 01:43:01
mieten,wohnen,0.83,1,2018-11-09 01:43:01
mieten,wohnungen,0.83,1,2018-11-09 01:43:01
mieten,immobilie,0.82,1,2018-11-09 01:43:01
mieten,immowelt,0.82,1,2018-11-09 01:43:01
mieten,miet24,0.82,1,2018-11-09 01:43:01
mieten,erento,0.82,1,2018-11-09 01:43:01
mieten,mietwohnung,0.8,1,2018-11-09 01:43:01
mieten,provisionsfreie mietwohnungen,0.8,1,2018-11-09 01:43:01
mieten,haus,0.79,1,2018-11-09 01:43:01
mieten,wohnungssuche,0.79,1,2018-11-09 01:43:01
mieten,vermieter,0.76,1,2018-11-09 01:43:01
mieten,häuser,0.75,1,2018-11-09 01:43:01
mieten,immobilienmarkt,0.74,1,2018-11-09 01:43:01
mieten,immobilo,0.74,1,2018-11-09 01:43:01
mieten,wohnmobil,0.73,1,2018-11-09 01:43:01
mieten,suchen,0.72,1,2018-11-09 01:43:01
mieten,mieter,0.69,1,2018-11-09 01:43:01
mieten,immonet,0.66,1,2018-11-09 01:43:01
mieten,fahrzeuge,0.65,1,2018-11-09 01:43:01
mieten,suche,0.63,1,2018-11-09 01:43:01
mieten,vermieten,0.62,1,2018-11-09 01:43:01
griffner,griffnerhaus,0.9,1,2018-11-09 01:43:02
griffner,zuhause3,0.69,1,2018-11-09 01:43:02
griffner,griffen,0.62,1,2018-11-09 01:43:02
griffner,708,0.53,1,2018-11-09 01:43:02
griffner,weber haus,0.53,1,2018-11-09 01:43:02
griffner,hanse haus,0.53,1,2018-11-09 01:43:02
griffner,eventbox,0.53,1,2018-11-09 01:43:02
griffner,design box,0.52,1,2018-11-09 01:43:02
griffner,open space,0.52,1,2018-11-09 01:43:02
griffner,smarthouse,0.52,1,2018-11-09 01:43:02
griffner,kampa,0.52,1,2018-11-09 01:43:02
griffner,baufritz,0.52,1,2018-11-09 01:43:02
griffner,regnauer,0.52,1,2018-11-09 01:43:02
griffner,loftcube,0.52,1,2018-11-09 01:43:02
griffner,frammelsberger,0.52,1,2018-11-09 01:43:02
griffner,gussek,0.52,1,2018-11-09 01:43:02
griffner,schwörer,0.52,1,2018-11-09 01:43:02
griffner,haacke,0.52,1,2018-11-09 01:43:02
griffner,luxhaus,0.52,1,2018-11-09 01:43:02
griffner,conwert,0.51,1,2018-11-09 01:43:02
griffner,ratgeber,0.51,1,2018-11-09 01:43:02
griffner,online,0.51,1,2018-11-09 01:43:02
griffner,häuser,0.5,1,2018-11-09 01:43:02
griffner,wohnen,0.49,1,2018-11-09 01:43:02
griffner,unternehmen,0.48,1,2018-11-09 01:43:02
renovieren,renovierung,0.91,1,2018-11-09 01:43:02
renovieren,modernisieren,0.72,1,2018-11-09 01:43:02
renovieren,umbau,0.7,1,2018-11-09 01:43:02
renovieren,sanieren,0.7,1,2018-11-09 01:43:02
renovieren,renoviert,0.68,1,2018-11-09 01:43:02
renovieren,streichen,0.61,1,2018-11-09 01:43:02
renovieren,tapezieren,0.53,1,2018-11-09 01:43:02
renovieren,renovierte,0.49,1,2018-11-09 01:43:02
renovieren,wände,0.49,1,2018-11-09 01:43:02
renovieren,auszug,0.48,1,2018-11-09 01:43:02
renovieren,mietvertrag,0.47,1,2018-11-09 01:43:02
hausundgrund,haus grund,0.76,1,2018-11-09 01:43:02
hausundgrund,infobrief,0.58,1,2018-11-09 01:43:02
hausundgrund,hausundgrundhessen,0.58,1,2018-11-09 01:43:02
hausundgrund,mietverträge,0.58,1,2018-11-09 01:43:02
hausundgrund,eigentümerschutz gemeinschaft,0.58,1,2018-11-09 01:43:02
hausundgrund,grundeigentümer,0.54,1,2018-11-09 01:43:02
hausundgrund,sylvia horst,0.53,1,2018-11-09 01:43:02
hausundgrund,wohnungs,0.5,1,2018-11-09 01:43:02
