parent,Followed_by,Rank,N,Date
haus,fürth,1,0,2018-11-09 01:42:59
haus,häuser,2,0,2018-11-09 01:42:59
haus,kaufen,3,0,2018-11-09 01:42:59
haus,zimmer,4,0,2018-11-09 01:42:59
haus,wohnen,5,0,2018-11-09 01:42:59
haus,stiftung haus,6,0,2018-11-09 01:42:59
haus,geschichte,7,0,2018-11-09 01:42:59
haus,wohnung,8,0,2018-11-09 01:42:59
haus,siedlungsgeographie,9,0,2018-11-09 01:42:59
haus,siedlungsname,10,0,2018-11-09 01:42:59
haus,bauform wohngebäude,11,0,2018-11-09 01:42:59
haus,rechtsgeschichte,12,0,2018-11-09 01:42:59
haus,haus grund,13,0,2018-11-09 01:42:59
haus,haus fürth,14,0,2018-11-09 01:42:59
haus,mieten,15,0,2018-11-09 01:42:59
haus,wohnungen,16,0,2018-11-09 01:42:59
haus,stadt,17,0,2018-11-09 01:42:59
haus,kaufpreis,18,0,2018-11-09 01:42:59
haus,bonn,19,0,2018-11-09 01:42:59
haus,immobilien,20,0,2018-11-09 01:42:59
haus,deutschland,21,0,2018-11-09 01:42:59
haus,leben,22,0,2018-11-09 01:42:59
haus,hause,23,0,2018-11-09 01:42:59
haus,bauen,24,0,2018-11-09 01:42:59
haus,korschenbroich,25,0,2018-11-09 01:42:59
geschichte,institut,1,1,2018-11-09 01:43:01
geschichte,online,2,1,2018-11-09 01:43:01
geschichte,stadt,3,1,2018-11-09 01:43:01
geschichte,mittelalter,4,1,2018-11-09 01:43:01
geschichte,deutschen,5,1,2018-11-09 01:43:01
geschichte,nürnberg,6,1,2018-11-09 01:43:01
geschichte,prof,7,1,2018-11-09 01:43:01
geschichte,bayern,8,1,2018-11-09 01:43:01
geschichte,historische,9,1,2018-11-09 01:43:01
geschichte,nürnberger,10,1,2018-11-09 01:43:01
geschichte,portal,11,1,2018-11-09 01:43:01
geschichte,lernen,12,1,2018-11-09 01:43:01
geschichte,kulturwissenschaft,13,1,2018-11-09 01:43:01
